epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1054.29,1.81316,2.84496,1.8943,0.33517,0.11611,0.10685,0.04413,1.99401,2.74225,2.04333,0.000475236,0.000475236,0.000475236
2,3714.13,1.8065,2.23309,1.87899,0.32006,0.07793,0.06517,0.03075,1.93909,2.31854,2.11123,0.000932728,0.000932728,0.000932728
3,5962.69,1.79549,2.12789,1.89232,0.31277,0.0678,0.05764,0.0254,2.10897,2.51802,2.37773,0.00137136,0.00137136,0.00137136
4,11714.3,1.75945,2.0158,1.85578,0.35659,0.08888,0.07518,0.03452,1.89174,2.02119,2.04083,0.00134412,0.00134412,0.00134412
