epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1063.48,1.81316,2.84496,1.8943,0.33285,0.11983,0.10839,0.04431,1.99401,2.74225,2.04333,0.000475236,0.000475236,0.000475236
2,2813.47,1.77216,2.18142,1.86837,0.37934,0.0924,0.07844,0.03818,1.85146,2.12888,2.02754,0.000763158,0.000763158,0.000763158
3,5063.49,1.72339,1.99262,1.83065,0.39361,0.09594,0.09116,0.03958,1.96595,2.00306,2.0282,0.000862453,0.000862453,0.000862453
4,7905.45,1.66745,1.83157,1.78052,0.44446,0.13772,0.12972,0.0628,1.80501,1.76203,1.96114,0.000580174,0.000580174,0.000580174
5,13619.4,1.58868,1.65777,1.72264,0.59124,0.19418,0.20357,0.10926,1.63713,1.50057,1.84055,0.000297232,0.000297232,0.000297232
