epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,364.155,1.3303,3.62816,1.412,0.67158,0.03258,0.10735,0.05869,1.53157,4.57021,1.52287,0.000469224,0.000469224,0.000469224
2,715.068,1.28596,2.49839,1.40871,0.40003,0.05598,0.05801,0.04055,1.40886,4.02952,1.56218,0.000758337,0.000758337,0.000758337
3,1032.8,1.22515,2.15443,1.34758,0.40085,0.17797,0.15678,0.10856,1.32005,2.48919,1.4881,0.000858822,0.000858822,0.000858822
4,1359.43,1.19496,1.78422,1.32338,0.26649,0.09133,0.06517,0.03902,1.34835,2.99092,1.45611,0.000580174,0.000580174,0.000580174
5,1870.71,1.10197,1.52257,1.26076,0.66743,0.09309,0.09821,0.06988,1.07954,1.54258,1.27118,0.000297232,0.000297232,0.000297232
